,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
4004,4005,97.0,0.0,USA,1000000.0,,34532,236.0,139.0,93000,48.0,984.0,697.0,689.0,3075,3.3,Bad
2899,2900,100.0,1.0,USA,12500000.0,10725228.0,75675,365.0,120.0,0,164.0,18000.0,14000.0,99.0,32288,7.8,Good
744,745,91.0,0.0,USA,48000000.0,64505912.0,163130,1264.0,323.0,6000,0.0,11000.0,946.0,751.0,13654,5.0,Fair
4023,4024,80.0,0.0,France,8000000.0,77413017.0,45984,331.0,169.0,0,10.0,11000.0,108.0,34.0,11218,7.6,Good
3145,3146,96.0,0.0,USA,11000000.0,16667084.0,90070,248.0,132.0,11000,31.0,651.0,610.0,536.0,3119,7.1,Good
3785,3786,99.0,0.0,USA,5000000.0,830210.0,1900,56.0,12.0,0,0.0,578.0,435.0,361.0,3382,4.4,Fair
790,791,87.0,0.0,USA,60000000.0,29136626.0,97089,233.0,225.0,20000,124.0,865.0,441.0,77.0,1417,5.7,Fair
318,319,94.0,0.0,USA,84000000.0,17010646.0,40751,239.0,78.0,881,6.0,490.0,294.0,227.0,1195,2.2,Bad
3598,3599,121.0,4.0,USA,6500000.0,14545844.0,4756,38.0,22.0,624,0.0,413.0,282.0,182.0,1284,5.8,Fair
4384,4385,104.0,2.0,India,1000000.0,4231500.0,30479,162.0,195.0,16000,25.0,638.0,85.0,73.0,822,7.8,Good
713,714,81.0,0.0,USA,150000000.0,135381507.0,63912,251.0,161.0,912,10.0,925.0,729.0,397.0,2252,5.8,Fair
850,851,117.0,0.0,USA,55000000.0,162586036.0,338383,611.0,201.0,32000,125.0,10000.0,617.0,168.0,11036,8.0,Good
3586,3587,120.0,0.0,USA,110000000.0,24004159.0,68722,191.0,188.0,0,153.0,1000.0,1000.0,447.0,3175,5.8,Fair
4614,4615,87.0,2.0,USA,1000000.0,,275,22.0,2.0,141,3.0,767.0,282.0,149.0,1593,5.8,Fair
3292,3293,116.0,2.0,USA,,90400000.0,102895,159.0,71.0,0,644.0,392.0,249.0,199.0,845,7.5,Good
1930,1931,124.0,1.0,UK,25000000.0,30012990.0,75973,409.0,141.0,0,159.0,288.0,249.0,240.0,1006,7.5,Good
1586,1587,108.0,0.0,USA,30000000.0,145096820.0,200260,431.0,142.0,0,6.0,3000.0,1000.0,1000.0,7872,6.4,Good
4864,4865,96.0,0.0,USA,300000.0,,24,2.0,,85,0.0,471.0,320.0,270.0,1399,4.3,Fair
622,623,95.0,0.0,USA,70000000.0,13596911.0,25572,123.0,81.0,2000,101.0,2000.0,509.0,443.0,3734,6.2,Good
1462,1463,93.0,1.0,USA,19000000.0,,16193,57.0,44.0,0,8.0,22000.0,1000.0,558.0,24154,6.1,Good
3735,3736,100.0,0.0,USA,5000000.0,14343976.0,22961,291.0,129.0,1000,6.0,935.0,120.0,65.0,1327,4.5,Fair
1139,1140,147.0,3.0,USA,44000000.0,53300852.0,154487,259.0,73.0,0,272.0,22000.0,11000.0,893.0,37076,7.5,Good
1923,1924,101.0,2.0,USA,30000000.0,34604054.0,34942,185.0,109.0,1000,43.0,5000.0,618.0,432.0,6867,5.8,Fair
3530,3531,108.0,4.0,USA,7000000.0,453079.0,4124,29.0,104.0,916,30.0,474.0,403.0,281.0,2029,5.9,Fair
4052,4053,91.0,0.0,UK,3000000.0,24788807.0,21245,213.0,94.0,0,52.0,773.0,588.0,482.0,1965,7.4,Good
1074,1075,84.0,7.0,USA,48000000.0,110000082.0,111526,347.0,151.0,0,119.0,807.0,780.0,750.0,3629,5.5,Fair
1233,1234,116.0,7.0,USA,42000000.0,54414716.0,114294,187.0,196.0,12000,51.0,18000.0,11000.0,465.0,30571,6.3,Good
2549,2550,80.0,2.0,USA,16000000.0,40363530.0,18254,307.0,56.0,1000,11.0,911.0,521.0,499.0,3058,3.3,Bad
687,688,92.0,0.0,Australia,65000000.0,19059018.0,65709,194.0,308.0,15000,72.0,623.0,593.0,568.0,3165,5.1,Fair
3890,3891,150.0,0.0,UK,140000000.0,65007045.0,128694,657.0,314.0,51000,0.0,23000.0,892.0,748.0,26489,6.1,Good
1120,1121,134.0,3.0,USA,45000000.0,19377727.0,35140,409.0,168.0,0,38.0,11000.0,8000.0,2000.0,24351,6.4,Good
2446,2447,108.0,0.0,USA,18000000.0,6000000.0,10832,102.0,60.0,0,25.0,1000.0,115.0,94.0,1263,6.7,Good
4341,4342,92.0,0.0,USA,2000000.0,,838,17.0,18.0,728,3.0,11000.0,1000.0,412.0,13583,3.4,Bad
3201,3202,98.0,0.0,USA,10000000.0,1754319.0,13174,81.0,94.0,0,129.0,749.0,252.0,221.0,2214,7.2,Good
3754,3755,79.0,1.0,USA,800000.0,,3519,46.0,42.0,213,57.0,998.0,164.0,99.0,1284,6.6,Good
1825,1826,93.0,2.0,UK,28000000.0,5204007.0,42876,167.0,95.0,0,31.0,783.0,132.0,57.0,1044,6.3,Good
4611,4612,99.0,2.0,USA,1000000.0,,1420,26.0,23.0,138,0.0,363.0,275.0,131.0,997,6.2,Good
1924,1925,114.0,3.0,USA,25000000.0,41597830.0,102123,660.0,174.0,0,335.0,11000.0,577.0,530.0,12624,7.6,Good
1173,1174,100.0,1.0,New Zealand,45000000.0,5664251.0,22309,102.0,95.0,0,19.0,624.0,489.0,433.0,2056,6.3,Good
1543,1544,92.0,1.0,Germany,32000000.0,80197993.0,65551,441.0,163.0,0,100.0,678.0,635.0,327.0,1729,5.7,Fair
26,27,147.0,0.0,USA,250000000.0,407197282.0,272670,1022.0,516.0,72000,94.0,21000.0,19000.0,11000.0,64798,8.2,Excellent
3239,3240,85.0,2.0,USA,,,1097,10.0,4.0,402,7.0,706.0,405.0,240.0,1936,5.2,Fair
4585,4586,53.0,0.0,USA,1000000.0,274661.0,10564,40.0,84.0,0,141.0,141.0,125.0,23.0,313,7.7,Good
1783,1784,119.0,0.0,Canada,28000000.0,8888143.0,22250,123.0,74.0,913,116.0,738.0,428.0,385.0,2171,6.7,Good
3686,3687,96.0,5.0,USA,9000000.0,27445.0,3788,31.0,48.0,1000,3.0,472.0,39.0,38.0,561,5.3,Fair
3110,3111,75.0,0.0,USA,10000000.0,,111649,437.0,124.0,0,73.0,1000.0,745.0,581.0,3192,6.7,Good
682,683,151.0,2.0,USA,63000000.0,37023395.0,1347461,2968.0,315.0,48000,21000.0,11000.0,783.0,637.0,13209,8.8,Excellent
1106,1107,96.0,1.0,USA,45000000.0,35617599.0,20688,47.0,25.0,0,0.0,1000.0,845.0,563.0,2965,5.9,Fair
4347,4348,108.0,0.0,Egypt,1500000.0,,6678,42.0,68.0,0,63.0,161.0,10.0,5.0,176,8.1,Excellent
1390,1391,127.0,1.0,USA,36000000.0,14378353.0,12375,194.0,95.0,846,96.0,746.0,602.0,577.0,2393,6.8,Good
1751,1752,110.0,3.0,UK,29000000.0,,2167,32.0,87.0,0,350.0,11000.0,183.0,83.0,11534,7.1,Good
2772,2773,109.0,0.0,USA,14000000.0,61356221.0,19505,162.0,86.0,0,41.0,997.0,826.0,748.0,3544,5.2,Fair
1052,1053,115.0,0.0,France,48000000.0,89253340.0,133436,323.0,222.0,38000,118.0,14000.0,794.0,482.0,16967,6.0,Fair
494,495,119.0,0.0,USA,44000000.0,21471685.0,65464,1308.0,174.0,0,64.0,743.0,117.0,41.0,971,2.4,Bad
3553,3554,99.0,0.0,USA,6500000.0,84263837.0,81699,291.0,271.0,45000,40.0,1000.0,421.0,300.0,2323,5.4,Fair
4447,4448,93.0,,USA,2000000.0,,133,2.0,27.0,135,9.0,708.0,571.0,485.0,2870,3.6,Bad
3397,3398,90.0,0.0,USA,8000000.0,3442820.0,31489,140.0,328.0,0,26.0,1000.0,442.0,0.0,1442,7.3,Good
1026,1027,124.0,7.0,USA,60000000.0,19445217.0,67796,258.0,231.0,14000,98.0,1000.0,852.0,592.0,3580,6.2,Good
2507,2508,108.0,2.0,USA,34000000.0,19693891.0,12993,107.0,50.0,476,19.0,973.0,954.0,505.0,3344,4.9,Fair
526,527,110.0,0.0,USA,75000000.0,134568845.0,299852,713.0,316.0,0,335.0,11000.0,11000.0,988.0,25763,6.7,Good
252,253,142.0,1.0,USA,110000000.0,113330342.0,207613,1144.0,192.0,4000,776.0,13000.0,2000.0,1000.0,19454,7.1,Good
1285,1286,128.0,1.0,USA,60000000.0,22326247.0,11232,106.0,55.0,0,34.0,978.0,886.0,685.0,3821,5.9,Fair
1022,1023,43.0,3.0,USA,,,33535,149.0,28.0,0,,3000.0,845.0,600.0,5381,7.0,Good
1236,1237,130.0,1.0,UK,30000000.0,51185897.0,69457,271.0,105.0,0,46.0,387.0,244.0,162.0,1233,6.7,Good
2931,2932,89.0,0.0,USA,12000000.0,64572496.0,204327,471.0,414.0,32000,128.0,963.0,465.0,371.0,2054,7.1,Good
1330,1331,102.0,1.0,USA,,42640890.0,32412,184.0,110.0,0,36.0,747.0,452.0,433.0,1930,5.6,Fair
1691,1692,104.0,0.0,Canada,26000000.0,16999046.0,79517,354.0,368.0,12000,165.0,900.0,686.0,559.0,2222,5.8,Fair
3291,3292,120.0,3.0,USA,8000000.0,16938179.0,41313,246.0,132.0,0,46.0,14000.0,826.0,701.0,17336,7.0,Good
3991,3992,134.0,1.0,USA,3500000.0,,19026,128.0,79.0,0,174.0,255.0,220.0,188.0,970,8.0,Good
1441,1442,104.0,0.0,USA,35000000.0,37481242.0,40654,97.0,148.0,0,16.0,1000.0,700.0,584.0,3356,5.3,Fair
2674,2675,117.0,4.0,Official site,15000000.0,20218921.0,14814,114.0,135.0,0,19.0,3000.0,646.0,461.0,4204,6.3,Good
3400,3401,79.0,2.0,USA,8000000.0,2275557.0,12561,102.0,45.0,0,73.0,1000.0,1000.0,112.0,2404,6.0,Fair
3972,3973,92.0,3.0,USA,,,257,6.0,1.0,237,2.0,881.0,826.0,601.0,3229,7.3,Good
1147,1148,103.0,1.0,USA,43000000.0,37035515.0,34597,194.0,116.0,0,84.0,12000.0,10000.0,664.0,23864,6.0,Fair
4116,4117,93.0,3.0,USA,3000000.0,200803.0,7988,71.0,82.0,0,78.0,536.0,317.0,197.0,1467,5.3,Fair
3441,3442,109.0,0.0,UK,7500000.0,5100000.0,6595,61.0,9.0,345,62.0,584.0,552.0,518.0,2024,6.0,Fair
4693,4694,201.0,0.0,New Zealand,207000000.0,218051260.0,316027,2618.0,446.0,0,0.0,6000.0,918.0,84.0,7122,7.2,Good
4236,4237,90.0,2.0,Canada,2500000.0,,5187,46.0,95.0,870,10.0,371.0,52.0,42.0,558,6.0,Fair
3968,3969,121.0,0.0,USA,3800000.0,,103493,317.0,161.0,17000,0.0,3000.0,977.0,682.0,5987,8.1,Excellent
1571,1572,102.0,0.0,USA,32000000.0,17797316.0,50523,113.0,167.0,0,8.0,839.0,730.0,472.0,2961,6.3,Good
3307,3308,124.0,3.0,UK,,1043487.0,27766,314.0,103.0,0,162.0,23000.0,776.0,277.0,24102,7.0,Good
2,3,148.0,1.0,UK,245000000.0,200074175.0,275868,994.0,602.0,85000,0.0,11000.0,393.0,161.0,11700,6.8,Good
3513,3514,105.0,3.0,USA,7000000.0,2062066.0,11387,147.0,97.0,357,261.0,783.0,658.0,617.0,2684,6.6,Good
1531,1532,140.0,1.0,USA,33000000.0,33682273.0,124242,622.0,192.0,4000,36.0,669.0,403.0,336.0,2114,6.5,Good
3830,3831,90.0,1.0,Denmark,4800000.0,778565.0,83234,475.0,440.0,30000,0.0,33000.0,1000.0,428.0,34779,5.7,Fair
3375,3376,60.0,2.0,USA,,,5817,25.0,9.0,0,,666.0,579.0,460.0,4043,7.1,Good
3213,3214,95.0,3.0,Hong Kong,10000000.0,866778.0,44208,117.0,192.0,0,0.0,20000.0,329.0,20.0,20364,6.7,Good
4094,4095,95.0,0.0,USA,3000000.0,3559990.0,8005,49.0,30.0,417,45.0,578.0,341.0,267.0,1363,5.3,Fair
497,498,116.0,0.0,USA,80000000.0,19480739.0,53057,457.0,123.0,0,503.0,23000.0,18000.0,982.0,43887,5.6,Fair
2665,2666,134.0,1.0,UK,11500000.0,22954968.0,45703,156.0,58.0,0,133.0,12000.0,310.0,258.0,12749,7.9,Good
4226,4227,90.0,1.0,USA,2500000.0,,44,3.0,,224,37.0,210.0,0.0,0.0,210,6.9,Good
3524,3525,95.0,1.0,USA,10000000.0,306715.0,5143,62.0,12.0,724,43.0,1000.0,788.0,611.0,5213,2.3,Bad
3136,3137,107.0,1.0,USA,10000000.0,,6143,90.0,54.0,0,17.0,371.0,324.0,53.0,857,5.3,Fair
2957,2958,86.0,5.0,USA,,17321573.0,3119,18.0,33.0,151,17.0,873.0,691.0,581.0,3646,4.5,Fair
3123,3124,100.0,2.0,USA,10000000.0,29392418.0,3924,26.0,8.0,368,322.0,851.0,543.0,534.0,3190,5.8,Fair
1935,1936,88.0,0.0,USA,25000000.0,25615792.0,10161,50.0,83.0,657,82.0,756.0,713.0,571.0,4378,3.5,Bad
717,718,116.0,0.0,USA,95000000.0,102678089.0,42705,274.0,113.0,885,165.0,577.0,501.0,475.0,2321,6.3,Good
2905,2906,94.0,0.0,UK,12500000.0,9030581.0,132386,398.0,185.0,38000,39.0,77.0,32.0,18.0,156,7.8,Good
4104,4105,120.0,0.0,South Korea,3000000.0,2181290.0,356181,809.0,305.0,43000,0.0,717.0,78.0,38.0,852,8.4,Excellent
2374,2375,132.0,2.0,UK,25000000.0,8600000.0,17982,95.0,29.0,1000,79.0,14000.0,12000.0,1000.0,28094,7.0,Good
119,120,128.0,0.0,USA,150000000.0,205343774.0,980946,2685.0,478.0,15000,22000.0,23000.0,14000.0,11000.0,59558,8.3,Excellent
596,597,88.0,0.0,USA,75000000.0,219613391.0,31649,98.0,107.0,2000,84.0,1000.0,1000.0,1000.0,5227,4.5,Fair
3006,3007,95.0,1.0,China,,190666.0,2410,20.0,101.0,784,611.0,9.0,4.0,3.0,18,5.7,Fair
3225,3226,99.0,1.0,USA,,221210.0,31964,129.0,129.0,0,800.0,49000.0,640.0,334.0,50542,6.9,Good
3078,3079,161.0,0.0,UK,12000000.0,56715371.0,427357,1736.0,285.0,24000,0.0,273.0,117.0,73.0,727,8.3,Excellent
1626,1627,94.0,1.0,Spain,17000000.0,56816662.0,301149,509.0,487.0,78000,11000.0,617.0,204.0,183.0,1289,7.7,Good
554,555,113.0,0.0,USA,52000000.0,34636443.0,93790,288.0,152.0,0,17.0,87000.0,13000.0,759.0,103354,6.6,Good
3806,3807,44.0,2.0,USA,,,67315,127.0,38.0,0,,1000.0,922.0,816.0,4092,8.4,Excellent
558,559,84.0,0.0,USA,,90820.0,35510,119.0,130.0,0,10.0,3000.0,552.0,394.0,4368,6.0,Fair
4030,4031,102.0,7.0,USA,3400000.0,,2116,13.0,17.0,0,19.0,632.0,144.0,80.0,1011,6.6,Good
4242,4243,89.0,1.0,USA,2100000.0,,544,4.0,,162,15.0,919.0,718.0,650.0,3873,6.3,Good
225,226,107.0,0.0,USA,120000000.0,100685880.0,100821,554.0,102.0,0,368.0,2000.0,1000.0,1000.0,4046,4.8,Fair
656,657,104.0,0.0,USA,60000000.0,139225854.0,34561,116.0,80.0,1000,54.0,901.0,857.0,775.0,5265,5.5,Fair
2618,2619,101.0,0.0,USA,300000.0,47000000.0,157857,1191.0,318.0,12000,0.0,2000.0,742.0,598.0,4400,7.9,Good
3556,3557,108.0,1.0,USA,6500000.0,54215416.0,21409,63.0,18.0,0,7.0,699.0,63.0,51.0,936,6.8,Good
511,512,124.0,0.0,Germany,78000000.0,92930005.0,204063,764.0,210.0,0,420.0,22000.0,12000.0,876.0,35867,7.2,Good
4512,4513,84.0,0.0,USA,1200000.0,,742,7.0,9.0,479,2.0,10000.0,500.0,475.0,11257,4.6,Fair
2986,2987,109.0,5.0,UK,12000000.0,2326407.0,5016,99.0,61.0,305,40.0,5000.0,1000.0,794.0,7166,7.0,Good
4953,4954,77.0,0.0,USA,103000.0,,98,5.0,1.0,0,7.0,206.0,81.0,69.0,516,5.7,Fair
3341,3342,135.0,0.0,South Korea,8000000.0,,3290,17.0,15.0,387,0.0,28.0,15.0,13.0,97,7.2,Good
4355,4356,87.0,0.0,France,1800000.0,40990055.0,41509,300.0,311.0,0,13.0,463.0,400.0,308.0,1958,5.6,Fair
1439,1440,103.0,1.0,Canada,35000000.0,40687294.0,107772,398.0,228.0,0,212.0,15000.0,552.0,248.0,16249,5.4,Fair
3955,3956,90.0,0.0,Canada,,,5137,50.0,38.0,688,165.0,686.0,246.0,150.0,1298,6.3,Good
4191,4192,107.0,1.0,USA,2500000.0,1282084.0,6221,87.0,74.0,500,7.0,745.0,631.0,442.0,2125,7.0,Good
143,144,85.0,0.0,UK,149000000.0,64459316.0,85086,122.0,135.0,0,42.0,20000.0,14000.0,586.0,35161,6.7,Good
882,883,280.0,0.0,USA,56000000.0,12870569.0,13215,497.0,84.0,953,33.0,789.0,640.0,67.0,1671,6.3,Good
3487,3488,92.0,3.0,USA,7000000.0,14891000.0,15088,105.0,50.0,824,737.0,718.0,524.0,380.0,2240,6.8,Good
3774,3775,108.0,2.0,New Zealand,5000000.0,3049135.0,50197,265.0,93.0,0,0.0,14000.0,433.0,88.0,14574,7.4,Good
1313,1314,107.0,0.0,UK,26000000.0,3675072.0,190132,801.0,308.0,15000,0.0,11000.0,372.0,167.0,11623,7.3,Good
3174,3175,101.0,2.0,USA,7500000.0,6712241.0,782437,1420.0,162.0,35000,194.0,1000.0,816.0,602.0,3858,8.6,Excellent
467,468,104.0,0.0,USA,80000000.0,79363785.0,139423,698.0,276.0,0,301.0,18000.0,4000.0,71.0,22194,5.5,Fair
3625,3626,93.0,0.0,USA,,,522,5.0,12.0,84,10.0,397.0,77.0,34.0,546,5.4,Fair
995,996,87.0,0.0,USA,50000000.0,33643461.0,11257,65.0,98.0,0,9.0,15000.0,2000.0,1000.0,20061,4.2,Fair
1604,1605,103.0,2.0,USA,30000000.0,106694016.0,123940,337.0,145.0,0,11000.0,22000.0,979.0,636.0,24333,6.7,Good
642,643,105.0,0.0,USA,69000000.0,37516013.0,128629,348.0,393.0,98000,335.0,3000.0,3000.0,911.0,8281,5.9,Fair
328,329,93.0,1.0,USA,90000000.0,59475623.0,49739,407.0,169.0,0,0.0,11000.0,2000.0,465.0,13748,5.2,Fair
4926,4927,108.0,2.0,USA,,,6025,28.0,48.0,0,14.0,2000.0,1000.0,826.0,4385,5.8,Fair
2326,2327,118.0,4.0,USA,20000000.0,2246000.0,2302,20.0,27.0,0,14.0,2000.0,769.0,400.0,3384,7.0,Good
726,727,113.0,6.0,USA,60000000.0,109176215.0,83506,144.0,166.0,0,0.0,4000.0,722.0,721.0,8172,5.5,Fair
3197,3198,135.0,0.0,USA,10000000.0,2185266.0,8720,186.0,57.0,1000,0.0,1000.0,975.0,851.0,4266,6.5,Good
4666,4667,104.0,0.0,France,800000.0,144583.0,2256,79.0,29.0,130,37.0,574.0,573.0,501.0,1983,6.5,Good
4777,4778,130.0,4.0,USA,215000000.0,234903076.0,175413,511.0,525.0,60000,0.0,44000.0,15000.0,11000.0,73441,6.4,Good
1045,1046,137.0,3.0,Czech Republic,50000000.0,1206135.0,40568,185.0,172.0,18000,79.0,27000.0,254.0,194.0,27666,6.4,Good
4596,4597,105.0,2.0,USA,1000000.0,,1434,43.0,8.0,27,5.0,590.0,231.0,73.0,1042,5.2,Fair
3636,3637,96.0,2.0,USA,6000000.0,115862.0,7394,50.0,63.0,0,19.0,1000.0,943.0,71.0,2163,6.7,Good
1480,1481,93.0,1.0,Australia,30000000.0,,11482,82.0,145.0,0,0.0,465.0,351.0,174.0,1361,5.2,Fair
5038,5039,43.0,1.0,USA,,,73839,359.0,43.0,32000,,841.0,593.0,319.0,1753,7.5,Good
2916,2917,130.0,0.0,USA,8000000.0,260000000.0,412454,962.0,385.0,21000,14000.0,813.0,559.0,366.0,2047,8.0,Good
1446,1447,102.0,1.0,Japan,35000000.0,33423521.0,53115,282.0,63.0,0,133.0,2000.0,1000.0,690.0,5443,3.8,Bad
3481,3482,119.0,1.0,USA,9000000.0,25000000.0,39847,242.0,112.0,0,23.0,1000.0,659.0,440.0,2951,6.8,Good
690,691,102.0,3.0,USA,65000000.0,13750556.0,111102,239.0,339.0,32000,436.0,23000.0,13000.0,6000.0,49433,6.5,Good
4433,4434,95.0,0.0,Canada,1500000.0,3478.0,22212,142.0,178.0,0,49.0,413.0,98.0,57.0,721,6.7,Good
2997,2998,111.0,2.0,Ireland,12000000.0,548934.0,16863,57.0,123.0,0,277.0,845.0,327.0,289.0,1554,6.8,Good
4588,4589,90.0,1.0,USA,,112521.0,455,16.0,13.0,25,165.0,978.0,922.0,679.0,3258,5.7,Fair
1232,1233,130.0,1.0,USA,40000000.0,53082743.0,844052,1100.0,341.0,49000,22000.0,23000.0,20000.0,19000.0,63986,8.5,Excellent
313,314,101.0,0.0,USA,100000000.0,72660029.0,115687,269.0,245.0,21000,420.0,12000.0,3000.0,467.0,16235,6.0,Fair
4210,4211,94.0,1.0,USA,3500000.0,,63,2.0,10.0,89,0.0,1000.0,677.0,442.0,2406,6.3,Good
536,537,43.0,1.0,USA,,,36919,94.0,12.0,10000,,1000.0,560.0,218.0,1990,7.5,Good
4830,4831,114.0,0.0,UK,,,270,7.0,4.0,29,7.0,19.0,16.0,2.0,37,5.6,Fair
125,126,138.0,0.0,USA,150000000.0,281492479.0,421818,2789.0,275.0,0,0.0,234.0,198.0,30.0,534,7.2,Good
4705,4706,81.0,2.0,USA,609000.0,3000000.0,13269,98.0,66.0,1000,10.0,610.0,172.0,23.0,824,7.8,Good
615,616,88.0,1.0,USA,70000000.0,62321039.0,117096,271.0,242.0,24000,24.0,5000.0,327.0,324.0,5861,6.4,Good
4095,4096,94.0,0.0,USA,3000000.0,,37594,181.0,112.0,0,0.0,820.0,350.0,180.0,1618,8.0,Good
3908,3909,93.0,2.0,USA,4000000.0,10097096.0,5612,38.0,27.0,842,69.0,522.0,231.0,69.0,955,4.6,Fair
5033,5034,80.0,0.0,Philippines,7000.0,70071.0,589,35.0,35.0,74,0.0,0.0,0.0,0.0,0,6.3,Good
2009,2010,85.0,0.0,Russia,25000000.0,,891,8.0,16.0,200,0.0,21.0,15.0,7.0,48,5.2,Fair
728,729,94.0,6.0,USA,60000000.0,82569532.0,42737,128.0,77.0,781,163.0,12000.0,3000.0,2000.0,20348,5.4,Fair
4668,4669,87.0,0.0,USA,,58163.0,122,3.0,13.0,4,0.0,1000.0,749.0,258.0,2359,4.2,Fair
607,608,92.0,1.0,USA,70000000.0,55942830.0,138582,423.0,261.0,37000,28.0,3000.0,692.0,423.0,5178,6.3,Good
1800,1801,122.0,2.0,USA,27500000.0,9664316.0,47203,197.0,131.0,0,151.0,24000.0,15000.0,11000.0,50950,6.8,Good
3713,3714,117.0,0.0,USA,5000000.0,27296514.0,326494,340.0,471.0,65000,212.0,11000.0,3000.0,896.0,17738,8.0,Good
1964,1965,85.0,1.0,USA,25000000.0,13973532.0,11211,92.0,52.0,215,54.0,985.0,637.0,455.0,3065,5.1,Fair
1388,1389,105.0,1.0,USA,37000000.0,20991497.0,39778,172.0,138.0,11000,488.0,15000.0,14000.0,13000.0,44037,5.4,Fair
1504,1505,135.0,1.0,France,,1877179.0,4885,25.0,28.0,262,22.0,837.0,541.0,45.0,1508,7.1,Good
4092,4093,89.0,1.0,USA,3000000.0,,128334,349.0,104.0,0,21.0,240.0,177.0,124.0,1011,7.8,Good
2722,2723,147.0,1.0,France,15000000.0,7219578.0,235992,1768.0,252.0,16000,0.0,6000.0,889.0,669.0,8484,8.0,Good
1303,1304,109.0,3.0,USA,40000000.0,13838130.0,35990,157.0,157.0,0,80.0,14000.0,4000.0,835.0,20503,5.9,Fair
2092,2093,133.0,0.0,UK,22000000.0,51483949.0,208092,806.0,226.0,0,235.0,955.0,593.0,105.0,1777,7.0,Good
4911,4912,126.0,0.0,Denmark,,,9903,49.0,54.0,863,147.0,0.0,0.0,0.0,0,8.1,Excellent
2661,2662,90.0,0.0,USA,15000000.0,26421314.0,28964,457.0,160.0,949,31.0,193.0,184.0,162.0,608,4.0,Bad
1734,1735,153.0,0.0,USA,28000000.0,119518352.0,188637,815.0,291.0,11000,446.0,523.0,405.0,154.0,1383,7.9,Good
3233,3234,86.0,0.0,USA,10000000.0,15447.0,2971,85.0,29.0,89,71.0,795.0,474.0,385.0,2655,3.5,Bad
3062,3063,104.0,1.0,USA,11000000.0,13214255.0,96233,313.0,535.0,26000,1000.0,3000.0,275.0,272.0,4082,7.4,Good
1470,1471,107.0,5.0,USA,55000000.0,19389454.0,54643,335.0,173.0,0,161.0,21000.0,826.0,549.0,22974,7.4,Good
3198,3199,93.0,1.0,USA,10000000.0,26583369.0,20837,127.0,185.0,10000,4.0,533.0,35.0,4.0,578,4.8,Fair
1598,1599,103.0,3.0,USA,26000000.0,105444419.0,31817,117.0,50.0,0,37.0,944.0,893.0,452.0,3143,6.2,Good
8,9,153.0,3.0,UK,250000000.0,301956980.0,321795,973.0,375.0,10000,282.0,25000.0,11000.0,10000.0,58753,7.5,Good
2733,2734,145.0,1.0,Germany,6000000.0,26435.0,111841,413.0,260.0,12000,756.0,136.0,23.0,18.0,203,8.3,Excellent
1553,1554,98.0,1.0,USA,32000000.0,35063732.0,164608,383.0,224.0,10000,541.0,8000.0,912.0,897.0,10938,6.4,Good
1384,1385,101.0,8.0,USA,36000000.0,50213619.0,139184,243.0,265.0,12000,38.0,496.0,390.0,318.0,1272,6.4,Good
4995,4996,96.0,5.0,USA,45000.0,,181,4.0,,72,117.0,948.0,482.0,281.0,2058,5.5,Fair
2195,2196,137.0,0.0,USA,20000000.0,39143839.0,38658,284.0,131.0,930,70.0,4000.0,884.0,464.0,5746,5.0,Fair
5037,5038,87.0,2.0,Canada,,,629,6.0,1.0,84,2.0,637.0,470.0,318.0,2283,7.7,Good
1792,1793,145.0,1.0,Spain,24000000.0,,10266,84.0,31.0,0,13.0,10000.0,1000.0,278.0,11669,6.1,Good
1289,1290,123.0,1.0,USA,40000000.0,15962471.0,79892,619.0,260.0,0,0.0,4000.0,887.0,826.0,7243,6.4,Good
3597,3598,106.0,1.0,UK,6000000.0,25244700.0,91017,284.0,201.0,0,0.0,742.0,602.0,381.0,2270,7.2,Good
1857,1858,99.0,0.0,Canada,26000000.0,13829734.0,16194,79.0,32.0,319,5.0,1000.0,691.0,535.0,2960,4.3,Fair
4858,4859,90.0,0.0,USA,300000.0,,28,,,17,0.0,569.0,553.0,185.0,1461,4.3,Fair
4160,4161,113.0,1.0,USA,2700000.0,9054736.0,5744,57.0,61.0,381,9.0,402.0,222.0,42.0,787,7.1,Good
2662,2663,101.0,0.0,USA,15000000.0,24881000.0,57140,195.0,93.0,6000,26.0,838.0,328.0,266.0,1812,6.2,Good
4180,4181,87.0,0.0,USA,2500000.0,33349949.0,9010,199.0,30.0,0,67.0,871.0,118.0,67.0,1111,5.1,Fair
3927,3928,96.0,0.0,USA,4000000.0,1325073.0,18762,91.0,114.0,708,101.0,730.0,394.0,71.0,1208,6.6,Good
1703,1704,102.0,1.0,USA,25000000.0,14334645.0,22449,191.0,130.0,387,6.0,22000.0,829.0,353.0,23352,4.8,Fair
1893,1894,107.0,2.0,UK,2800000.0,,80958,310.0,154.0,7000,503.0,264.0,139.0,108.0,673,7.6,Good
3097,3098,101.0,0.0,UK,10000000.0,55865715.0,41763,403.0,173.0,0,13.0,494.0,392.0,368.0,2013,5.5,Fair
